Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
27209431,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,"Kelly, Kevin",,"=""0525428089""","=""9780525428084""",0,4.02,Viking,Hardcover,328,2016,2016,,2016/06/07,"to-read, timferriss","to-read (#97), timferriss (#1)",to-read,,,,,,,0,,,,,
186124,Fortune's Formula: The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street,William Poundstone,"Poundstone, William",,"=""0809045990""","=""9780809045990""",0,4.17,Hill and Wang,Paperback,400,2006,2006,,2016/05/27,to-read,to-read (#96),to-read,,,,,,,3,,,unspecified,,
389603,The Misbehavior of Markets: A Fractal View of Financial Turbulence,Benoît B. Mandelbrot,"Mandelbrot, Benoît B.",Richard L. Hudson,"=""0465043577""","=""9780465043576""",0,4.02,Basic Books,Paperback,368,2005,1997,,2016/05/27,to-read,to-read (#95),to-read,Recommended from: http://www.anlytcs.com/2016/05/comparing-daily-stock-market-returns-to.html,,,,,,0,,,,,
17977529,"Choose Yourself: Be Happy, Make Millions, Live the Dream",James Altucher,"Altucher, James",,"=""""","=""9781619610224""",0,3.89,,Paperback,276,2013,2013,,2016/05/20,to-read,to-read (#94),to-read,,,,,,,1,,,unspecified,,
834383,The Great Arc: The Dramatic Tale of How India Was Mapped and Everest Was Named,John Keay,"Keay, John",,"=""0060932953""","=""9780060932954""",0,3.86,Harper Perennial,Paperback,224,2001,2000,,2016/05/19,to-read,to-read (#93),to-read,,,,,,,1,,,unspecified,,
12369449,The Man Who Quit Money,Mark Sundeen,"Sundeen, Mark","Daniel Suelo, Brian Mahan, John Lame Deer, Joseph Campbell, Ramakrishna","=""1594485690""","=""9781594485695""",0,3.71,Riverhead,Paperback,260,2012,2012,,2016/05/19,to-read,to-read (#92),to-read,,,,,,,0,,,,,
1595177,The Adventures of Johnny Bunko: The Last Career Guide You'll Ever Need,Daniel H. Pink,"Pink, Daniel H.",,"=""1594482918""","=""9781594482915""",3,3.75,Riverhead Books,Paperback,160,2008,2008,2014/11/13,2016/05/19,,,read,,,,,,,0,,,,,
78509,You Learn by Living: Eleven Keys for a More Fulfilling Life,Eleanor Roosevelt,"Roosevelt, Eleanor",,"=""0664244947""","=""9780664244941""",5,3.99,Westminster John Knox Press,Paperback,211,2009,1960,2014/10/31,2016/05/19,,,read,,,,,,,0,,,,,
12443235,The Wealthy Barber Returns,David Chilton,"Chilton, David",,"=""0968394744""","=""9780968394748""",3,3.81,Financial Awareness Corporation,,224,2011,2011,2013/06/14,2016/05/19,,,read,,,,,,,0,,,,,
33600,Shantaram,Gregory David Roberts,"Roberts, Gregory David",,"=""192076920X""","=""9781920769208""",5,4.26,Scribe,Paperback,936,2004,2003,2015/05/10,2016/05/19,,,read,Almost life changing.,,,,,,1,,,unspecified,,
28514478,Who Rules the World?,Noam Chomsky,"Chomsky, Noam",,"=""162779381X""","=""9781627793810""",0,4.09,Metropolitan Books/Henry Holt & Co. (NYC),Hardcover,320,2016,2016,,2016/05/16,to-read,to-read (#91),to-read,,,,,,,0,,,,,
303836,"The Forager's Harvest: A Guide to Identifying, Harvesting, and Preparing Edible Wild Plants",Samuel Thayer,"Thayer, Samuel",,"=""0976626608""","=""9780976626602""",0,4.34,Foragers Harvest Press,Paperback,360,2006,2006,,2016/05/12,to-read,to-read (#90),to-read,,,,,,,0,,,,,
7637312,"Nature's Garden: A Guide to Identifying, Harvesting, and Preparing Edible Wild Plants",Samuel Thayer,"Thayer, Samuel",,"=""0976626616""","=""9780976626619""",0,4.49,Foragers Harvest Press,Paperback,512,2010,2010,,2016/05/12,to-read,to-read (#89),to-read,,,,,,,0,,,,,
5579277,Edible Wild Plants: Wild Foods from Dirt to Plate,John Kallas,"Kallas, John",,"=""1423601505""","=""9781423601500""",0,4.34,Gibbs Smith,Paperback,416,2010,2010,,2016/05/12,to-read,to-read (#88),to-read,,,,,,,0,,,,,
1098135,Stalking the Wild Asparagus,Euell Gibbons,"Gibbons, Euell",,"=""0911469036""","=""9780911469035""",0,4.15,Alan C Hood & Company,Paperback,303,1962,1962,,2016/05/12,to-read,to-read (#87),to-read,,,,,,,0,,,,,
594871,Stalking the Blue-Eyed Scallop,Euell Gibbons,"Gibbons, Euell",,"=""0911469052""","=""9780911469059""",0,4.10,Alan C Hood & Company,Paperback,332,1964,1964,,2016/05/12,to-read,to-read (#86),to-read,,,,,,,0,,,,,
606055,"Plants of the Pacific Northwest Coast: Washington, Oregon, British Columbia, and Alaska",Jim Pojar,"Pojar, Jim",Andy MacKinnon,"=""1551050404""","=""0779101050404""",0,4.55,Lone Pine Publishing,Paperback,527,1994,1994,,2016/05/12,to-read,to-read (#85),to-read,,,,,,,0,,,,,
292307,Apple Cider Vinegar: Miracle Health System,Paul Bragg,"Bragg, Paul",Patricia Bragg,"=""0877900450""","=""9780877900450""",0,3.87,Bragg Health Science,Paperback,113,2005,1995,,2016/05/12,to-read,to-read (#84),to-read,,,,,,,0,,,,,
